,GEOID10,n_loans,n_homes,n_hcl,per_hcl,rank_hcl
409,53011040302,2016,2486,98,0.048611111,0.35380321
410,53011040910,254,1478,16,0.062992126,0.463363573
411,53011040412,556,1609,29,0.052158273,0.381018842
412,53011040414,579,1854,61,0.105354059,0.702721563
413,53011040416,356,1151,27,0.075842697,0.545010468
414,53011040413,244,927,28,0.114754098,0.743893929
415,53011040909,361,2073,15,0.041551247,0.295184927
416,53011040511,216,810,17,0.078703704,0.562456385
417,53011040710,1369,1788,112,0.081811541,0.578506629
418,53011040709,730,1311,43,0.05890411,0.434054431
419,53011040712,598,1838,58,0.096989967,0.660851361
420,53011041327,700,2648,40,0.057142857,0.414515003
421,53011041333,218,1057,23,0.105504587,0.704117237
422,53011040608,408,1395,25,0.06127451,0.450802512
423,53011041328,327,1795,19,0.058103976,0.427773901
424,53011041329,246,1387,11,0.044715447,0.320307048
425,53011040808,141,632,7,0.04964539,0.362875087
426,53011040810,295,1028,27,0.091525424,0.634333566
427,53011041011,240,1171,20,0.083333333,0.589672017
428,53011041112,339,1513,35,0.103244838,0.695045359
429,53003960100,172,1859,8,0.046511628,0.333565946
430,53003960200,187,2013,15,0.080213904,0.572226099
431,53003960300,167,1334,30,0.179640719,0.918353105
432,53003960500,172,1421,22,0.127906977,0.792742498
433,53003960400,86,969,13,0.151162791,0.863921842
434,53003960600,157,1495,21,0.133757962,0.813677599
435,53011041111,71,507,13,0.183098592,0.923237962
436,53011041331,168,722,20,0.119047619,0.764131193
437,53011041330,335,1520,34,0.101492537,0.681088625
438,53011041326,178,817,27,0.151685393,0.866015352
439,53011040707,243,1097,32,0.131687243,0.806699232
440,53011040610,320,1147,13,0.040625,0.288904396
441,53011040609,385,1490,11,0.028571429,0.159804606
442,53011042400,58,87,0,0,0.011863224
443,53011040809,383,1766,28,0.07310705,0.531053733
444,53011041010,285,1187,30,0.105263158,0.702023726
445,53011040409,190,762,10,0.052631579,0.386601535
446,53011040411,145,522,13,0.089655172,0.627355199
447,53011040711,183,843,21,0.114754098,0.743893929
448,53011040510,507,2013,25,0.049309665,0.359385904
449,53011040301,187,609,6,0.032085561,0.194696441
450,53011040415,405,1261,36,0.088888889,0.623168179
451,53011041332,265,1245,26,0.098113208,0.665736218
452,53011042500,71,423,3,0.042253521,0.30076762
453,53011042600,232,1123,8,0.034482759,0.225401256
454,53011042700,101,1345,17,0.168316832,0.896720167
455,53011042800,166,1145,8,0.048192771,0.34961619
456,53011042900,52,555,3,0.057692308,0.422191207
457,53011043000,87,706,8,0.091954023,0.637822749
458,53011043100,265,1598,18,0.067924528,0.498953245
459,53011040102,223,1196,23,0.103139013,0.693649686
460,53011040201,630,2388,49,0.077777778,0.554082345
461,53011040403,292,1501,7,0.023972603,0.109560363
462,53011040603,352,1743,18,0.051136364,0.373342638
463,53011041009,196,1170,20,0.102040816,0.685275645
464,53011041108,310,1774,35,0.112903226,0.737613398
465,53011041319,400,2117,22,0.055,0.405443126
466,53011041320,247,1729,23,0.093117409,0.644801117
467,53021020800,148,1941,23,0.155405405,0.87508723
468,53021020700,100,576,8,0.08,0.570830426
469,53011041322,154,1116,12,0.077922078,0.555478018
470,53011041313,167,562,20,0.119760479,0.76692254
471,53011041312,336,1153,37,0.110119048,0.725052338
472,53011040604,995,1906,71,0.071356784,0.519888346
473,53011040408,247,1231,15,0.060728745,0.445917655
474,53011040407,494,1765,59,0.119433198,0.765526867
475,53011040505,416,1993,30,0.072115385,0.52547104
476,53011040507,70,745,6,0.085714286,0.603628751
477,53011040508,600,2350,42,0.07,0.511514306
478,53011040509,178,1206,22,0.123595506,0.775994417
479,53011040504,311,1588,26,0.083601286,0.59106769
480,53011041400,442,2021,27,0.061085973,0.449406839
481,53011041500,139,1001,15,0.107913669,0.715980461
482,53011040605,687,1549,23,0.033478894,0.210746685
483,53011040202,221,1459,18,0.081447964,0.575715283
484,53011040203,329,1967,25,0.075987842,0.545708304
485,53021020501,401,1733,18,0.044887781,0.323098395
486,53021020502,668,2916,71,0.106287425,0.708304257
487,53021020100,369,2359,75,0.203252033,0.953942777
488,53021020601,1167,2896,120,0.102827763,0.692254013
489,53021020200,132,1482,24,0.181818182,0.921144452
490,53021020300,185,1448,38,0.205405405,0.956734124
491,53021020400,221,1896,35,0.158371041,0.880669923
492,53011040706,182,1013,30,0.164835165,0.891835311
493,53011040805,1090,2101,56,0.051376147,0.376133985
494,53011041205,217,1335,23,0.105990783,0.706908583
495,53011040703,501,2282,59,0.117764471,0.759944173
496,53011041104,217,1196,32,0.147465438,0.854849965
497,53011041317,415,1086,24,0.057831325,0.423586881
498,53011040806,350,1616,37,0.105714286,0.70551291
499,53021020606,579,2163,75,0.129533679,0.799023029
500,53021020603,622,1068,78,0.125401929,0.782972784
501,53021020605,962,2461,139,0.144490644,0.842986741
502,53039950100,332,3705,37,0.111445783,0.729239358
503,53039950200,128,2262,11,0.0859375,0.605024424
504,53039950300,321,3567,14,0.043613707,0.311933008
505,53037975402,291,1813,19,0.065292096,0.482205164
506,53037975100,715,5614,59,0.082517483,0.581995813
507,53037975500,358,1986,30,0.083798883,0.591765527
508,53037975600,69,887,10,0.144927536,0.846475925
509,53037975700,224,1946,23,0.102678571,0.691556176
510,53037975200,362,3344,22,0.060773481,0.447313329
511,53037975300,346,2038,24,0.069364162,0.508722959
512,53037975401,135,1919,5,0.037037037,0.251221214
513,53067010200,326,2217,15,0.04601227,0.329378925
514,53067010300,238,2046,22,0.092436975,0.639218423
515,53067011100,255,1548,8,0.031372549,0.190509421
516,53067012420,294,1733,26,0.088435374,0.621772505
517,53067011420,456,2566,36,0.078947368,0.563852059
518,53067012320,87,1143,10,0.114942529,0.745289602
519,53067012000,410,2585,22,0.053658537,0.394277739
520,53067012100,190,1844,9,0.047368421,0.339846476
521,53067011410,306,1811,40,0.130718954,0.803210049
522,53067011000,284,2018,21,0.073943662,0.535240754
523,53041971000,196,1075,40,0.204081633,0.956036288
524,53041970600,136,633,24,0.176470588,0.914863922
525,53041971200,151,1354,12,0.079470199,0.567341242
526,53041971300,330,2217,45,0.136363636,0.823447313
527,53041971100,201,1502,18,0.089552239,0.625959525
528,53041971800,180,2204,29,0.161111111,0.884856943
529,53041971900,170,1382,30,0.176470588,0.914863922
530,53041971700,215,2325,29,0.134883721,0.819260293
531,53041971400,165,1071,13,0.078787879,0.563154222
532,53041971600,211,1675,30,0.142180095,0.837404047
533,53041972000,99,2581,14,0.141414141,0.836008374
534,53041971500,526,2781,86,0.163498099,0.88764829
535,53041970100,165,1366,12,0.072727273,0.52965806
536,53041970200,166,1227,15,0.090361446,0.630146546
