"County Name","County","Cumulative Smoke Score (2016-2022)"
"n/a","State Total","2289"
"Kitsap","53035081100","1433.8"
"Kitsap","53035081200","1433.8"
"Kitsap","53035081400","1433.8"
"Kitsap","53035090101","1599.8"
"Kitsap","53035090102","1591.4"
"Kitsap","53035090201","1450.8"
"Kitsap","53035090202","1485.5"
"Kitsap","53035090300","1450.8"
"Kitsap","53035090400","1461.1"
"Kitsap","53035090501","1461.1"
"Kitsap","53035090502","1461.1"
"Kitsap","53035090700","1466"
"Kitsap","53035090800","1466"
"Kitsap","53035090900","1466"
"Kitsap","53035091000","1433.8"
"Kitsap","53035091100","1466"
"Kitsap","53035091201","1449"
"Kitsap","53035091203","1466"
"Kitsap","53035091204","1459.3"
"Kitsap","53035091301","1449"
"Kitsap","53035091302","1449"
"Kitsap","53035091400","1433.8"
"Kitsap","53035091500","1459.3"
"Kitsap","53035091600","1459.3"
"Kitsap","53035091700","1459.3"
"Kitsap","53035091800","1433.8"
"Kitsap","53035091900","1459.3"
"Kitsap","53035092000","1471.4"
"Kitsap","53035092100","1481.6"
"Kitsap","53035092200","1433.8"
"Kitsap","53035092300","1481.6"
"Kitsap","53035092400","1433.8"
"Kitsap","53035092500","1433.8"
"Kitsap","53035092600","1433.8"
"Kitsap","53035092701","1481.6"
"Kitsap","53035092704","1433.8"
"Kitsap","53035092801","1481.6"
"Kitsap","53035092802","1495.8"
"Kitsap","53035092803","1498.2"
"Kitsap","53035092901","1487.8"
"Kitsap","53035092902","1495.8"
"Kitsap","53035940000","1588.5"
"Kitsap","53035940100","1461.1"
"Kittitas","53037975100","2632.8"
"Kittitas","53037975200","3475.2"
"Kittitas","53037975300","4008.6"
"Kittitas","53037975401","3959.4"
"Kittitas","53037975402","3922.5"
"Kittitas","53037975500","3923"
"Kittitas","53037975600","3917.6"
"Kittitas","53037975700","3940.2"
"Klickitat","53039950100","3925.9"
"Klickitat","53039950200","5179"
"Klickitat","53039950300","4276.6"
"Lewis","53041970100","1587.1"
"Lewis","53041970200","1650.7"
"Lewis","53041970300","1669"
"Lewis","53041970400","1650.7"
"Lewis","53041970500","1650.7"
"Lewis","53041970600","1650.7"
"Lewis","53041970700","1650.7"
"Lewis","53041970800","1650.7"
"Lewis","53041970900","1650.7"
"Lewis","53041971000","1650.7"
"Lewis","53041971100","1650.7"
"Lewis","53041971200","1733.7"
"Lewis","53041971300","1730.1"
"Lewis","53041971400","1591"
"Lewis","53041971500","1562.3"
"Lewis","53041971600","1666.3"
"Lewis","53041971700","1728.7"
"Lewis","53041971800","1425.6"
"Lewis","53041971900","1547.7"
"Lewis","53041972000","2186.3"
"Lincoln","53043960100","3619.5"
"Lincoln","53043960200","3655"
"Lincoln","53043960300","3604.1"
"Lincoln","53043960400","3273.7"
"Mason","53045940000","1698.9"
"Mason","53045960100","1656.2"
"Mason","53045960200","1698.9"
"Mason","53045960300","1728.4"
"Mason","53045960400","1476.2"
"Mason","53045960500","1776.2"
"Mason","53045960600","1737.5"
"Mason","53045960700","1737.5"
"Mason","53045960800","1776.2"
"Mason","53045960900","1737.5"
"Mason","53045961000","1777"
"Mason","53045961100","1792.1"
"Mason","53045961200","1776.2"
"Mason","53045961300","1757.4"
"Okanogan","53047940100","5448.2"
"Okanogan","53047940200","5429.2"
"Okanogan","53047970300","5191.4"
"Okanogan","53047970400","5344.9"
"Okanogan","53047970500","5553.5"
"Okanogan","53047970600","5478.7"
"Okanogan","53047970700","5369.2"
"Okanogan","53047970800","4948.8"
"Okanogan","53047970900","5473.7"
"Okanogan","53047971000","5587.8"
"Pacific","53049950200","1147.9"
"Pacific","53049950300","1164.1"
"Pacific","53049950400","1115.6"
"Pacific","53049950500","1150.6"
"Pacific","53049950600","1150.6"
"Pacific","53049950700","1199.4"
"Pacific","53049950800","1196.9"
"Pacific","53049990100","1195.1"
"Pend Oreille","53051970100","5013.4"
"Pend Oreille","53051970200","4758.6"
"Pend Oreille","53051970300","5027.8"
"Pend Oreille","53051970400","4998.8"
"Pend Oreille","53051970500","4978.6"
"Pierce","53053060200","1530.2"
"Pierce","53053060300","1656.1"
"Pierce","53053060400","1658.9"
"Pierce","53053060500","1645.2"
"Pierce","53053060600","1663.6"
"Pierce","53053060700","1677.3"
"Pierce","53053060800","1658.9"
"Pierce","53053060903","1656.1"
"Pierce","53053060904","1656.1"
"Pierce","53053060905","1656.1"
"Pierce","53053060906","1656.1"
"Pierce","53053061001","1656.1"
"Pierce","53053061002","1656.1"
"Pierce","53053061100","1677.3"
"Pierce","53053061200","1677.3"
"Pierce","53053061300","1663.6"
"Pierce","53053061400","1663.6"
"Pierce","53053061500","1663.6"
"Pierce","53053061601","1663.6"
"Pierce","53053061602","1663.6"
"Pierce","53053061700","1663.6"
"Pierce","53053061800","1663.6"
"Pierce","53053061900","1663.6"
"Pierce","53053062000","1663.6"
"Pierce","53053062300","1663.6"
"Pierce","53053062400","1663.6"
"Pierce","53053062500","1663.6"
"Pierce","53053062600","1677.3"
"Pierce","53053062801","1677.3"
"Pierce","53053062802","1653.6"
"Pierce","53053062900","1653.6"
"Pierce","53053063000","1632.9"
"Pierce","53053063100","1632.9"
"Pierce","53053063200","1632.9"
"Pierce","53053063300","1632.9"
"Pierce","53053063400","1632.9"
"Pierce","53053063501","1632.9"
"Pierce","53053063502","1632.9"
"Pierce","53053070100","1676.5"
"Pierce","53053070203","1928.5"
"Pierce","53053070204","1801.4"
"Pierce","53053070205","1801.4"
"Pierce","53053070206","1801.4"
"Pierce","53053070207","1801.4"
"Pierce","53053070307","1801.4"
"Pierce","53053070308","1928.5"
"Pierce","53053070309","1929.7"
"Pierce","53053070310","1928.5"
"Pierce","53053070311","1801.4"
"Pierce","53053070312","1928.5"
"Pierce","53053070313","1924.6"
"Pierce","53053070314","1924.6"
"Pierce","53053070315","1925.8"
"Pierce","53053070316","1712.4"
"Pierce","53053070401","1928.5"
"Pierce","53053070403","1897.6"
"Pierce","53053070404","1921.3"
"Pierce","53053070703","1530.2"
"Pierce","53053071100","1632.9"
"Pierce","53053071205","1904.4"
"Pierce","53053071206","1893.6"
"Pierce","53053071207","1897.6"
"Pierce","53053071208","1897.6"
"Pierce","53053071209","1928.5"
"Pierce","53053071210","1928.5"
"Pierce","53053071304","1901.5"
"Pierce","53053071305","1632.9"
"Pierce","53053071306","1888.6"
"Pierce","53053071307","1896.7"
"Pierce","53053071309","1901.5"
