"cause","exposure","mean","lower","upper"
"cvd_ihd",1457,2.01612119397663,1.67372212465283,2.40212748109948
"cvd_ihd",1458,2.01612203886296,1.67372263681162,2.40212873178457
"cvd_ihd",1459,2.01612288374965,1.67372314897056,2.40212998247032
"cvd_ihd",1460,2.01612372863671,1.67372366112966,2.40213123315673
"cvd_ihd",1461,2.01612457352413,1.67372417328892,2.40213248384378
"cvd_ihd",1462,2.0161254184119,1.67372468544833,2.40213373453149
"cvd_ihd",1463,2.01612626330003,1.6737251976079,2.40213498521984
"cvd_ihd",1464,2.01612710818852,1.67372570976763,2.40213623590885
"cvd_ihd",1465,2.01612795307738,1.67372622192751,2.40213748659851
"cvd_ihd",1466,2.01612879796659,1.67372673408755,2.40213873728882
"cvd_ihd",1467,2.01612964285617,1.67372724624775,2.40213998797978
"cvd_ihd",1468,2.0161304877461,1.6737277584081,2.40214123867139
"cvd_ihd",1469,2.0161313326364,1.67372827056862,2.40214248936365
"cvd_ihd",1470,2.01613217752705,1.67372878272928,2.40214374005657
"cvd_ihd",1471,2.01613302241806,1.67372929489011,2.40214499075013
"cvd_ihd",1472,2.01613386730944,1.67372980705109,2.40214624144435
"cvd_ihd",1473,2.01613471220117,1.67373031921223,2.40214749213922
"cvd_ihd",1474,2.01613555709327,1.67373083137352,2.40214874283474
"cvd_ihd",1475,2.01613640198572,1.67373134353497,2.4021499935309
"cvd_ihd",1476,2.01613724687853,1.67373185569658,2.40215124422772
"cvd_ihd",1477,2.01613809177171,1.67373236785835,2.4021524949252
"cvd_ihd",1478,2.01613893666524,1.67373288002027,2.40215374562333
"cvd_ihd",1479,2.01613978155913,1.67373339218234,2.40215499632209
"cvd_ihd",1480,2.01614062645339,1.67373390434458,2.40215624702152
"cvd_ihd",1481,2.016141471348,1.67373441650697,2.4021574977216
"cvd_ihd",1482,2.01614231624298,1.67373492866952,2.40215874842233
"cvd_ihd",1483,2.01614316113831,1.67373544083222,2.4021599991237
"cvd_ihd",1484,2.016144006034,1.67373595299508,2.40216124982573
"cvd_ihd",1485,2.01614485093006,1.67373646515811,2.40216250052842
"cvd_ihd",1486,2.01614569582647,1.67373697732128,2.40216375123175
"cvd_ihd",1487,2.01614654072324,1.67373748948461,2.40216500193573
"cvd_ihd",1488,2.01614738562038,1.6737380016481,2.40216625264037
"cvd_ihd",1489,2.01614823051787,1.67373851381175,2.40216750334566
"cvd_ihd",1490,2.01614907541572,1.67373902597555,2.40216875405159
"cvd_ihd",1491,2.01614992031394,1.67373953813951,2.40217000475819
"cvd_ihd",1492,2.01615076521252,1.67374005030363,2.40217125546543
"cvd_ihd",1493,2.01615161011145,1.67374056246789,2.40217250617332
"cvd_ihd",1494,2.01615245501074,1.67374107463232,2.40217375688185
"cvd_ihd",1495,2.01615329991039,1.67374158679691,2.40217500759105
"cvd_ihd",1496,2.01615414481041,1.67374209896165,2.4021762583009
"cvd_ihd",1497,2.01615498971078,1.67374261112655,2.40217750901139
"cvd_ihd",1498,2.01615583461151,1.67374312329161,2.40217875972254
"cvd_ihd",1499,2.01615667951261,1.67374363545682,2.40218001043434
"cvd_ihd",1500,2.01615752441406,1.67374414762219,2.40218126114679
"cvd_ihd",1501,2.01615836931588,1.67374465978771,2.40218251185989
"cvd_ihd",1502,2.01615921421805,1.6737451719534,2.40218376257364
"cvd_ihd",1503,2.01616005912059,1.67374568411924,2.40218501328805
"cvd_ihd",1504,2.01616090402348,1.67374619628523,2.4021862640031
"cvd_ihd",1505,2.01616174892673,1.67374670845139,2.40218751471881
"cvd_ihd",1506,2.01616259383035,1.6737472206177,2.40218876543516
"cvd_ihd",1507,2.01616343873432,1.67374773278416,2.40219001615217
"cvd_ihd",1508,2.01616428363865,1.67374824495078,2.40219126686982
"cvd_ihd",1509,2.01616512854335,1.67374875711757,2.40219251758814
"cvd_ihd",1510,2.0161659734484,1.6737492692845,2.4021937683071
"cvd_ihd",1511,2.01616681835381,1.67374978145159,2.40219501902671
"cvd_ihd",1512,2.01616766325959,1.67375029361884,2.40219626974697
"cvd_ihd",1513,2.01616850816572,1.67375080578625,2.40219752046789
"cvd_ihd",1514,2.01616935307222,1.67375131795381,2.40219877118946
"cvd_ihd",1515,2.01617019797908,1.67375183012154,2.40220002191169
